Nome Olfazeta;Ispirato a:;Marca;Cod. 15ml;Prezzo 15ml;Mkt 15ml;Cod. 50ml;Prezzo 50ml;Mkt 50ml;GENERE
BLACK AFGANO;Black Afgano;Nasomatto;T074;19.90;65.00;074;52.00;310.00;Unisex
X FOR MEN;X for Men;Clive Christian;T075;19.90;65.00;075;52.00;310.00;Uomo
VELVET AMBER SKIN;Velvet Amber Skin;D&G;T101;19.90;65.00;101;52.00;310.00;Unisex
VELVET AMBER SUN;Velvet Amber Sun;D&G;T102;19.90;65.00;102;52.00;310.00;Unisex
FUCKING FABULOUS;F. Fabulous;Tom Ford;T106;19.90;65.00;106;52.00;310.00;Unisex
J'ADORE L'OR;L'Or;Dior;T109;19.90;65.00;109;52.00;310.00;Donna
LOST CHERRY;Lost Cherry;Tom Ford;T111;19.90;65.00;111;52.00;310.00;Unisex
NEROLI PORTOFINO;Neroli Portofino;Tom Ford;T112;19.90;65.00;112;52.00;310.00;Unisex
TOBACCO VANILLE;Tobacco Vanille;Tom Ford;T117;19.90;65.00;117;52.00;310.00;Unisex
BACCARAT ROUGE 540;Baccarat Rouge 540;F. Kurkdjian;T118;19.90;65.00;118;52.00;310.00;Unisex
GOOD GIRL GONE BAD;Good Girl Gone Bad;Kilian;T123;19.90;65.00;123;52.00;310.00;Donna
ZETA;Zeta;Morph;T124;19.90;65.00;124;52.00;310.00;Unisex
SOLE DI POSITANO;Sole di Positano;Tom Ford;T125;19.90;65.00;125;52.00;310.00;Unisex
SOLEIL BLANC;Soleil Blanc;Tom Ford;T126;19.90;65.00;126;52.00;310.00;Unisex
BITTER PEACH;Bitter Peach;Tom Ford;T128;19.90;65.00;128;52.00;310.00;Unisex
