Nome Olfazeta;Ispirato a:;Marca;Cod. 15ml;Prezzo 15ml;Cod. 30ml;Prezzo 30ml;Cod. 70ml;Prezzo 70ml
SILVER MOUNTAIN;Silver Mountain;CREED;T044;14.90 €;344;25.50 €;044;48.00 €
BLACK ORCHID;Black Orchid;TOM FORD;T054;11.90 €;354;18.00 €;054;35.00 €
PATCHOULI;Patchouli;REMINISCENCE;T072;11.90 €;372;18.00 €;072;35.00 €
HIMALAYA;Himalaya;CREED;T073;14.90 €;373;25.50 €;073;48.00 €
MANDARINO AMALFI;Mandarino Amalfi;TOM FORD;T099;13.90 €;399;23.50 €;099;45.00 €
WHITE AOUD;White Aoud;MONTALE;T100;11.90 €;3100;18.00 €;100;35.00 €
INTENSE CAFE';Intense Café;MONTALE;T105;11.90 €;3105;18.00 €;105;35.00 €
GOLD KIRKE';Kirkè;T. TERENZI;T110;14.90 €;3110;25.50 €;110;48.00 €
OMBRE NOMADE;Ombre Nomade;L. VUITTON;T114;14.90 €;3114;25.50 €;114;48.00 €
BOIS D'ARGENT;Bois d'Argent;C. DIOR;T135;17.90 €;3135;29.50 €;135;57.00 €
OMBRE' LEATHER;Ombre Leather;TOM FORD;T142;17.90 €;3142;29.50 €;142;57.00 €
