Nome Olfazeta;Ispirato a:;Marca;Cod. 15ml;Prezzo 15ml;Mkt 15ml;Cod. 30ml;Prezzo 30ml;Mkt 30ml;Cod. 70ml;Prezzo 70ml;Mkt 70ml
OPIUM;YSL;YSL;T006;11.90;35.00;306;18.00;80.00;006;35.00;145.00
J'ADORE;Dior;DIOR;T007;11.90;35.00;307;18.00;80.00;007;35.00;145.00
ALIEN;T. Mugler;THIERRY MUGLER;T010;11.90;35.00;310;18.00;80.00;010;35.00;145.00
LIGHT BLUE;D&G;D&G;T011;11.90;35.00;311;18.00;80.00;011;35.00;145.00
TO THE EDGE;Gucci;GUCCI;T151W;11.90;35.00;3151W;18.00;80.00;151W;35.00;145.00
MANIFESTO;YSL;YSL;T014;11.90;35.00;314;18.00;80.00;014;35.00;145.00
LADY MILLION;P. Rabanne;PACO RABANNE;T019;11.90;35.00;319;18.00;80.00;019;35.00;145.00
HYPNOTIC POISON;Dior;DIOR;T021;11.90;35.00;321;18.00;80.00;021;35.00;145.00
FOR HER;N. Rodriguez;N. RODRIGUEZ;T023;11.90;35.00;323;18.00;80.00;023;35.00;145.00
COCO MADEMOISELLE;Chanel;CHANEL;T024;11.90;35.00;324;18.00;80.00;024;35.00;145.00
PETITS ET MAMANS;Bulgari;BULGARI;T026;11.90;35.00;326;18.00;80.00;026;35.00;145.00
LA VIE EST BELLE;Lancome;LANCOME;T029;11.90;35.00;329;18.00;80.00;029;35.00;145.00
CHLOE';Chloe;CHLOE;T030;11.90;35.00;330;18.00;80.00;030;35.00;145.00
CANDY;Prada;PRADA;T031;11.90;35.00;331;18.00;80.00;031;35.00;145.00
IDOLE;Lancome;LANCOME;T034;11.90;35.00;334;18.00;80.00;034;35.00;145.00
ANGEL;T. Mugler;THIERRY MUGLER;T037;11.90;35.00;337;18.00;80.00;037;35.00;145.00
NARCISO;N. Rodriguez;N. RODRIGUEZ;T040;11.90;35.00;340;18.00;80.00;040;35.00;145.00
SÌ;Armani;ARMANI;T046;11.90;35.00;346;18.00;80.00;046;35.00;145.00
MISS DIOR CHERIE;Dior;DIOR;T049;11.90;35.00;349;18.00;80.00;049;35.00;145.00
ACQUA DI GIOIA;Armani;ARMANI;T053;11.90;35.00;353;18.00;80.00;053;35.00;145.00
REMEMBRANCE;Olympea;PACO RABANNE;T155W;11.90;35.00;3155W;18.00;80.00;155W;35.00;145.00
REVEAL;Lady Million;PACO RABANNE;T161W;11.90;35.00;3161W;18.00;80.00;161W;35.00;145.00
FLOWER BY KENZO;Kenzo;KENZO;T059;11.90;35.00;359;18.00;80.00;059;35.00;145.00
OMNIA CRYSTAL;Bulgari;BULGARI;T070;11.90;35.00;370;18.00;80.00;070;35.00;145.00
CRYSTAL NOIR;Versace;VERSACE;T076;11.90;35.00;376;18.00;80.00;076;35.00;145.00
BLACK OPIUM;YSL;YSL;T077;11.90;35.00;377;18.00;80.00;077;35.00;145.00
GOOD GIRL;C. Herrera;C. HERRERA;T078;11.90;35.00;378;18.00;80.00;078;35.00;145.00
JOY;Dior;DIOR;T080;11.90;35.00;380;18.00;80.00;080;35.00;145.00
CLASSIQUE;JPG;JPG;T081;11.90;35.00;381;18.00;80.00;081;35.00;145.00
SIGNORINA;Ferragamo;FERRAGAMO;T082;11.90;35.00;382;18.00;80.00;082;35.00;145.00
CHANCE;Chanel;CHANEL;T085;11.90;35.00;385;18.00;80.00;085;35.00;145.00
MON PARIS;YSL;YSL;T089;11.90;35.00;389;18.00;80.00;089;35.00;145.00
POISON GIRL;Dior;DIOR;T090;11.90;35.00;390;18.00;80.00;090;35.00;145.00
AVENTUS HER;Creed;CREED;T093;17.90;55.00;393;29.50;110.00;093;57.00;210.00
BRITISH CHARM;Burberry;BURBERRY;T159W;11.90;35.00;3159W;18.00;80.00;159W;35.00;145.00
GABRIELLE;Chanel;CHANEL;T096;11.90;35.00;396;18.00;80.00;096;35.00;145.00
SCANDAL;JPG;JPG;T098;11.90;35.00;398;18.00;80.00;098;35.00;145.00
GUILTY;Gucci;GUCCI;T103;11.90;35.00;3103;18.00;80.00;103;35.00;145.00
L'INTERDIT;Givenchy;GIVENCHY;T110;11.90;35.00;3110;18.00;80.00;110;35.00;145.00
MY WAY;Armani;ARMANI;T114;11.90;35.00;3114;18.00;80.00;114;35.00;145.00
LIBRE;YSL;YSL;T115;11.90;35.00;3115;18.00;80.00;115;35.00;145.00
LOU LOU;Cacharel;CACHAREL;T116;11.90;35.00;3116;18.00;80.00;116;35.00;145.00
VOCE VIVA;Valentino;VALENTINO;T119;11.90;35.
